NCTId,Country,OverallStatus,StopCategory,StartYear
NCT00679536,United States,UNKNOWN,No reason recorded,2008
NCT01757899,Brazil,WITHDRAWN,Other,2014
NCT05179057,Spain,TERMINATED,Efficacy not met,2022
NCT05179057,United Kingdom,TERMINATED,Efficacy not met,2022
NCT05179057,Italy,TERMINATED,Efficacy not met,2022
NCT05179057,Canada,TERMINATED,Efficacy not met,2022
NCT05179057,United States,TERMINATED,Efficacy not met,2022
NCT05179057,Sweden,TERMINATED,Efficacy not met,2022
NCT04288700,Egypt,UNKNOWN,No reason recorded,2019
NCT04000698,Russia,UNKNOWN,No reason recorded,2019
NCT01408056,United States,WITHDRAWN,Low enrollment/accrual,2011
NCT00020566,Australia,UNKNOWN,No reason recorded,2001
NCT00020566,Puerto Rico,UNKNOWN,No reason recorded,2001
NCT00020566,Canada,UNKNOWN,No reason recorded,2001
NCT00020566,United States,UNKNOWN,No reason recorded,2001
NCT00020566,New Zealand,UNKNOWN,No reason recorded,2001
NCT00843804,Switzerland,UNKNOWN,No reason recorded,2007
NCT03158584,Egypt,UNKNOWN,No reason recorded,2017
NCT03035344,Greece,UNKNOWN,No reason recorded,2015
NCT01916187,Canada,WITHDRAWN,Sponsor/business decision,2013
NCT01898793,United States,TERMINATED,Funding,2014
NCT01108952,Israel,UNKNOWN,No reason recorded,2011
NCT03000335,Israel,UNKNOWN,No reason recorded,2016
NCT03923257,United States,WITHDRAWN,Other,2020
NCT04367779,France,UNKNOWN,No reason recorded,2020
NCT01642095,United States,WITHDRAWN,No reason recorded,2012
NCT06160739,Egypt,UNKNOWN,No reason recorded,2023
NCT05952479,Indonesia,UNKNOWN,No reason recorded,2023
NCT05782959,Russia,UNKNOWN,No reason recorded,2021
NCT05087537,Egypt,UNKNOWN,No reason recorded,2021
NCT04767152,Russia,UNKNOWN,No reason recorded,2021
NCT06226519,Italy,UNKNOWN,No reason recorded,2020
NCT00180830,France,TERMINATED,No reason recorded,2003
NCT00180830,Netherlands,TERMINATED,No reason recorded,2003
NCT00180830,United Kingdom,TERMINATED,No reason recorded,2003
NCT00582816,United States,TERMINATED,Safety concerns,2008
NCT02041299,Egypt,TERMINATED,Low enrollment/accrual,2014
NCT02041299,United Kingdom,TERMINATED,Low enrollment/accrual,2014
NCT02041299,Brazil,TERMINATED,Low enrollment/accrual,2014
NCT02041299,Turkey (Türkiye),TERMINATED,Low enrollment/accrual,2014
NCT02041299,Tunisia,TERMINATED,Low enrollment/accrual,2014
NCT02041299,Saudi Arabia,TERMINATED,Low enrollment/accrual,2014
NCT02041299,Canada,TERMINATED,Low enrollment/accrual,2014
NCT02041299,United States,TERMINATED,Low enrollment/accrual,2014
NCT06067321,United Kingdom,UNKNOWN,No reason recorded,2024
NCT05518838,United States,NO_LONGER_AVAILABLE,No reason recorded,Not listed
NCT00737685,South Korea,UNKNOWN,No reason recorded,2006
NCT03451825,South Korea,TERMINATED,Other,2018
NCT03451825,Belgium,TERMINATED,Other,2018
NCT03451825,Denmark,TERMINATED,Other,2018
NCT03451825,Canada,TERMINATED,Other,2018
NCT03451825,United States,TERMINATED,Other,2018
NCT05673278,United Kingdom,UNKNOWN,No reason recorded,2023
NCT05867576,United Kingdom,UNKNOWN,No reason recorded,2021
NCT03328858,United States,TERMINATED,PI/Staff unavailable,2017
NCT04064684,United States,TERMINATED,Low enrollment/accrual,2020
NCT00003926,United States,TERMINATED,Low enrollment/accrual,1998
NCT04997291,United States,UNKNOWN,No reason recorded,2021
NCT04883151,Denmark,UNKNOWN,No reason recorded,2021
NCT06299670,Bangladesh,UNKNOWN,No reason recorded,2023
NCT04801342,Taiwan,UNKNOWN,No reason recorded,2021
NCT00445822,Germany,UNKNOWN,No reason recorded,2007
NCT01751412,United States,TERMINATED,Low enrollment/accrual,2013
NCT06011278,Turkey (Türkiye),UNKNOWN,No reason recorded,2023
NCT02626455,South Korea,TERMINATED,Efficacy not met,2016
NCT02626455,China,TERMINATED,Efficacy not met,2016
NCT02626455,United Kingdom,TERMINATED,Efficacy not met,2016
NCT02626455,Portugal,TERMINATED,Efficacy not met,2016
NCT02626455,Brazil,TERMINATED,Efficacy not met,2016
NCT02626455,Denmark,TERMINATED,Efficacy not met,2016
NCT02626455,Israel,TERMINATED,Efficacy not met,2016
NCT02626455,Germany,TERMINATED,Efficacy not met,2016
NCT02626455,Ireland,TERMINATED,Efficacy not met,2016
NCT02626455,Ukraine,TERMINATED,Efficacy not met,2016
NCT02626455,Hong Kong,TERMINATED,Efficacy not met,2016
NCT02626455,Poland,TERMINATED,Efficacy not met,2016
NCT02626455,Australia,TERMINATED,Efficacy not met,2016
NCT02626455,South Africa,TERMINATED,Efficacy not met,2016
NCT02626455,Czechia,TERMINATED,Efficacy not met,2016
NCT02626455,Italy,TERMINATED,Efficacy not met,2016
NCT02626455,Japan,TERMINATED,Efficacy not met,2016
NCT02626455,Romania,TERMINATED,Efficacy not met,2016
NCT02626455,Chile,TERMINATED,Efficacy not met,2016
NCT02626455,Hungary,TERMINATED,Efficacy not met,2016
NCT02626455,Spain,TERMINATED,Efficacy not met,2016
NCT02626455,Belgium,TERMINATED,Efficacy not met,2016
NCT02626455,Slovakia,TERMINATED,Efficacy not met,2016
NCT02626455,Taiwan,TERMINATED,Efficacy not met,2016
NCT02626455,France,TERMINATED,Efficacy not met,2016
NCT02626455,United States,TERMINATED,Efficacy not met,2016
NCT02626455,Finland,TERMINATED,Efficacy not met,2016
NCT02626455,Mexico,TERMINATED,Efficacy not met,2016
NCT02626455,Singapore,TERMINATED,Efficacy not met,2016
NCT02626455,Greece,TERMINATED,Efficacy not met,2016
NCT02626455,Russia,TERMINATED,Efficacy not met,2016
NCT02626455,Bulgaria,TERMINATED,Efficacy not met,2016
NCT02626455,Thailand,TERMINATED,Efficacy not met,2016
NCT02626455,Turkey (Türkiye),TERMINATED,Efficacy not met,2016
NCT02626455,Canada,TERMINATED,Efficacy not met,2016
NCT00866281,Netherlands,TERMINATED,Low enrollment/accrual,2009
NCT00866281,Italy,TERMINATED,Low enrollment/accrual,2009
NCT00866281,France,TERMINATED,Low enrollment/accrual,2009
NCT00866281,United States,TERMINATED,Low enrollment/accrual,2009
NCT00866281,Sweden,TERMINATED,Low enrollment/accrual,2009
NCT05660499,France,UNKNOWN,No reason recorded,2021
NCT03541330,France,TERMINATED,Other,2018
NCT01230788,United States,TERMINATED,Low enrollment/accrual,2010
NCT04100070,France,UNKNOWN,No reason recorded,2019
NCT03406273,United States,WITHDRAWN,Low enrollment/accrual,2017
NCT04326374,China,UNKNOWN,No reason recorded,2019
NCT05871086,Egypt,UNKNOWN,No reason recorded,2023
NCT03169894,United States,TERMINATED,Sponsor/business decision,2017
NCT03115164,France,UNKNOWN,No reason recorded,2016
NCT04204109,Denmark,TERMINATED,COVID-19,2020
NCT04258592,Belgium,TERMINATED,Low enrollment/accrual,2020
NCT00047138,France,UNKNOWN,No reason recorded,2001
NCT00047138,Netherlands,UNKNOWN,No reason recorded,2001
NCT00047138,Germany,UNKNOWN,No reason recorded,2001
NCT00047138,United Kingdom,UNKNOWN,No reason recorded,2001
NCT00173355,Taiwan,UNKNOWN,No reason recorded,2005
NCT00526318,Switzerland,UNKNOWN,No reason recorded,2007
NCT00526318,Germany,UNKNOWN,No reason recorded,2007
NCT04731974,United States,UNKNOWN,No reason recorded,2023
NCT01861990,United States,WITHDRAWN,Other,2013
NCT03564704,China,UNKNOWN,No reason recorded,2016
NCT01438385,United States,UNKNOWN,No reason recorded,2011
NCT04909515,Hong Kong,WITHDRAWN,Sponsor/business decision,2021
NCT04909515,Russia,WITHDRAWN,Sponsor/business decision,2021
NCT04909515,South Korea,WITHDRAWN,Sponsor/business decision,2021
NCT04909515,Singapore,WITHDRAWN,Sponsor/business decision,2021
NCT03474133,Russia,UNKNOWN,No reason recorded,2019
NCT04671901,United States,TERMINATED,Low enrollment/accrual,2020
NCT01399281,Italy,UNKNOWN,No reason recorded,2011
NCT02476994,United States,TERMINATED,Regulatory,2015
NCT01502150,United States,UNKNOWN,No reason recorded,2005
NCT04547829,China,UNKNOWN,No reason recorded,2020
NCT04598204,China,UNKNOWN,No reason recorded,2017
NCT00511017,United States,TERMINATED,Low enrollment/accrual,2007
NCT04500548,Canada,WITHDRAWN,Low enrollment/accrual,2021
NCT04500548,United States,WITHDRAWN,Low enrollment/accrual,2021
NCT04374838,Egypt,UNKNOWN,No reason recorded,2020
NCT04753658,South Korea,TERMINATED,Other,2021
NCT04753658,Australia,TERMINATED,Other,2021
NCT04753658,Portugal,TERMINATED,Other,2021
NCT04753658,United States,TERMINATED,Other,2021
NCT04753658,Sweden,TERMINATED,Other,2021
NCT04753658,New Zealand,TERMINATED,Other,2021
NCT01442415,United States,TERMINATED,Low enrollment/accrual,2011
NCT03613389,Egypt,UNKNOWN,No reason recorded,2020
NCT03846362,Russia,UNKNOWN,No reason recorded,2019
NCT00673179,United States,TERMINATED,Low enrollment/accrual,2008
NCT02337309,United States,TERMINATED,Low enrollment/accrual,2015
NCT05051800,United States,TERMINATED,Low enrollment/accrual,2019
NCT01205334,United States,TERMINATED,Low enrollment/accrual,2010
NCT04567251,United States,TERMINATED,Low enrollment/accrual,2021
NCT01604941,Egypt,TERMINATED,Other,2012
NCT01604941,Lebanon,TERMINATED,Other,2012
NCT01604941,Italy,TERMINATED,Other,2012
NCT01604941,Canada,TERMINATED,Other,2012
NCT01604941,United States,TERMINATED,Other,2012
NCT04743544,Turkey (Türkiye),UNKNOWN,No reason recorded,2019
NCT04888195,Hong Kong,UNKNOWN,No reason recorded,2021
NCT05261256,Germany,UNKNOWN,No reason recorded,2022
NCT04239092,United States,TERMINATED,Safety concerns,2020
NCT03396575,United States,TERMINATED,Other,2018
NCT02141100,Denmark,WITHDRAWN,No reason recorded,2014
NCT05569512,United States,TERMINATED,Sponsor/business decision,2022
NCT05922566,China,UNKNOWN,No reason recorded,2023
NCT03793088,United States,UNKNOWN,No reason recorded,2019
NCT01200017,United States,NO_LONGER_AVAILABLE,No reason recorded,Not listed
NCT04037189,Israel,UNKNOWN,No reason recorded,2019
NCT04700514,South Korea,UNKNOWN,No reason recorded,2021
NCT05434871,Turkey (Türkiye),UNKNOWN,No reason recorded,2022
NCT04485104,Italy,TERMINATED,Low enrollment/accrual,2021
NCT04485104,United States,TERMINATED,Low enrollment/accrual,2021
NCT04485104,Spain,TERMINATED,Low enrollment/accrual,2021
NCT01697514,United States,WITHDRAWN,Low enrollment/accrual,2013
NCT00739206,Gabon,TERMINATED,Efficacy not met,2008
NCT00739206,Burkina Faso,TERMINATED,Efficacy not met,2008
NCT00739206,Tanzania,TERMINATED,Efficacy not met,2008
NCT00739206,Benin,TERMINATED,Efficacy not met,2008
NCT04730349,Germany,TERMINATED,Sponsor/business decision,2021
NCT04730349,Spain,TERMINATED,Sponsor/business decision,2021
NCT04730349,Australia,TERMINATED,Sponsor/business decision,2021
NCT04730349,Italy,TERMINATED,Sponsor/business decision,2021
NCT04730349,France,TERMINATED,Sponsor/business decision,2021
NCT04730349,United States,TERMINATED,Sponsor/business decision,2021
NCT03413306,Russia,UNKNOWN,No reason recorded,2016
NCT02339350,South Korea,UNKNOWN,No reason recorded,2015
NCT00475605,Germany,TERMINATED,Efficacy not met,2005
NCT00475605,Ireland,TERMINATED,Efficacy not met,2005
NCT00475605,Austria,TERMINATED,Efficacy not met,2005
NCT00475605,Poland,TERMINATED,Efficacy not met,2005
NCT00475605,United Kingdom,TERMINATED,Efficacy not met,2005
NCT00475605,Netherlands,TERMINATED,Efficacy not met,2005
NCT00475605,France,TERMINATED,Efficacy not met,2005
NCT00475605,Canada,TERMINATED,Efficacy not met,2005
NCT00475605,United States,TERMINATED,Efficacy not met,2005
NCT04840199,United States,TERMINATED,Low enrollment/accrual,2022
NCT03173612,China,UNKNOWN,No reason recorded,2016
NCT02518750,United States,TERMINATED,Low enrollment/accrual,2016
NCT05846672,Turkey (Türkiye),UNKNOWN,No reason recorded,2023
NCT06275334,France,UNKNOWN,No reason recorded,2023
NCT05123534,United States,SUSPENDED,Funding,2022
NCT00474110,Canada,WITHDRAWN,Low enrollment/accrual,2009
NCT00533169,United States,TERMINATED,Low enrollment/accrual,2007
NCT02536599,Egypt,UNKNOWN,No reason recorded,2015
NCT06339814,Italy,UNKNOWN,No reason recorded,2023
NCT03604393,United States,UNKNOWN,No reason recorded,2019
NCT04670016,Canada,UNKNOWN,No reason recorded,2020
NCT00010101,United States,TERMINATED,Low enrollment/accrual,2001
NCT04722237,United Kingdom,UNKNOWN,No reason recorded,2021
NCT03600909,United States,TERMINATED,Low enrollment/accrual,2018
NCT00379457,Ireland,UNKNOWN,No reason recorded,2006
NCT00379457,Switzerland,UNKNOWN,No reason recorded,2006
NCT00379457,Austria,UNKNOWN,No reason recorded,2006
NCT00379457,Spain,UNKNOWN,No reason recorded,2006
NCT00379457,Belgium,UNKNOWN,No reason recorded,2006
NCT00379457,United Kingdom,UNKNOWN,No reason recorded,2006
NCT00379457,Denmark,UNKNOWN,No reason recorded,2006
NCT00379457,Sweden,UNKNOWN,No reason recorded,2006
NCT03787095,United States,TERMINATED,Safety concerns,2019
NCT04977895,China,UNKNOWN,No reason recorded,2021
NCT05934630,Canada,SUSPENDED,Other,2023
NCT05934630,United States,SUSPENDED,Other,2023
NCT05727683,China,UNKNOWN,No reason recorded,2022
NCT04860817,China,WITHDRAWN,Other,2021
NCT01313884,United States,TERMINATED,Efficacy not met,2011
NCT04492735,United States,UNKNOWN,No reason recorded,2020
NCT02544685,Slovakia,UNKNOWN,No reason recorded,2010
NCT00880061,United States,TERMINATED,No reason recorded,2009
NCT00790413,Sweden,UNKNOWN,No reason recorded,2005
NCT04489940,Spain,TERMINATED,Low enrollment/accrual,2020
NCT04489940,Belgium,TERMINATED,Low enrollment/accrual,2020
NCT04489940,Russia,TERMINATED,Low enrollment/accrual,2020
NCT04489940,Italy,TERMINATED,Low enrollment/accrual,2020
NCT04489940,France,TERMINATED,Low enrollment/accrual,2020
NCT04489940,United States,TERMINATED,Low enrollment/accrual,2020
NCT02758366,Italy,TERMINATED,Low enrollment/accrual,2016
NCT01535183,South Korea,UNKNOWN,No reason recorded,2012
NCT01887522,Switzerland,TERMINATED,Other,2016
NCT01887522,Austria,TERMINATED,Other,2016
NCT01887522,Spain,TERMINATED,Other,2016
NCT01887522,United Kingdom,TERMINATED,Other,2016
NCT01887522,Netherlands,TERMINATED,Other,2016
NCT01887522,Italy,TERMINATED,Other,2016
NCT01887522,Denmark,TERMINATED,Other,2016
NCT01887522,France,TERMINATED,Other,2016
NCT02050243,Israel,UNKNOWN,No reason recorded,2014
NCT03221166,Italy,TERMINATED,Low enrollment/accrual,2018
NCT04616560,United States,SUSPENDED,Low enrollment/accrual,2021
NCT03451123,United States,TERMINATED,Low enrollment/accrual,2018
NCT01828489,Finland,UNKNOWN,No reason recorded,2013
NCT01828489,Estonia,UNKNOWN,No reason recorded,2013
NCT01828489,Hong Kong,UNKNOWN,No reason recorded,2013
NCT01828489,Iceland,UNKNOWN,No reason recorded,2013
NCT01828489,Belgium,UNKNOWN,No reason recorded,2013
NCT01828489,Netherlands,UNKNOWN,No reason recorded,2013
NCT01828489,Norway,UNKNOWN,No reason recorded,2013
NCT01828489,Denmark,UNKNOWN,No reason recorded,2013
NCT01828489,Sweden,UNKNOWN,No reason recorded,2013
NCT00194961,United States,TERMINATED,Funding,Not listed
NCT05000359,United States,WITHDRAWN,Low enrollment/accrual,2021
NCT02028910,France,TERMINATED,No reason recorded,2014
NCT05191641,Turkey (Türkiye),UNKNOWN,No reason recorded,2023
NCT03990597,United States,WITHDRAWN,Other,2019
NCT01113125,Denmark,UNKNOWN,No reason recorded,2010
NCT02372409,United States,TERMINATED,Low enrollment/accrual,2015
NCT03825367,United States,UNKNOWN,No reason recorded,2019
NCT02466438,Canada,UNKNOWN,No reason recorded,2016
NCT05664230,France,UNKNOWN,No reason recorded,2023
NCT05000216,United States,TERMINATED,Low enrollment/accrual,2021
NCT04044560,Canada,TERMINATED,Funding,2020
NCT00069927,United States,TERMINATED,Low enrollment/accrual,2003
NCT00101205,United States,TERMINATED,No reason recorded,2004
NCT03708913,Canada,WITHDRAWN,Low enrollment/accrual,2019
NCT04033627,China,UNKNOWN,No reason recorded,2020
NCT00991744,Finland,SUSPENDED,Other,2009
NCT00991744,Iceland,SUSPENDED,Other,2009
NCT00991744,Norway,SUSPENDED,Other,2009
NCT00991744,Denmark,SUSPENDED,Other,2009
NCT00991744,Sweden,SUSPENDED,Other,2009
NCT00539500,United States,TERMINATED,Low enrollment/accrual,2007
NCT03449693,Mexico,UNKNOWN,No reason recorded,2017
NCT02124616,Egypt,UNKNOWN,No reason recorded,2014
NCT00278031,Israel,UNKNOWN,No reason recorded,2006
NCT04183062,United States,WITHDRAWN,Low enrollment/accrual,2019
NCT01058850,United States,TERMINATED,Low enrollment/accrual,2011
NCT05107843,France,UNKNOWN,No reason recorded,2020
NCT03472807,France,TERMINATED,Other,2019
NCT03472807,Reunion,TERMINATED,Other,2019
NCT03979599,Egypt,UNKNOWN,No reason recorded,2019
NCT03864419,Uganda,TERMINATED,Low enrollment/accrual,2019
NCT00112619,United States,TERMINATED,Low enrollment/accrual,2005
NCT04525352,United States,TERMINATED,Other,2020
NCT02006134,Germany,UNKNOWN,No reason recorded,2013
NCT02006134,India,UNKNOWN,No reason recorded,2013
NCT02006134,United Kingdom,UNKNOWN,No reason recorded,2013
NCT02006134,Thailand,UNKNOWN,No reason recorded,2013
NCT02006134,Denmark,UNKNOWN,No reason recorded,2013
NCT02006134,Canada,UNKNOWN,No reason recorded,2013
NCT02006134,United States,UNKNOWN,No reason recorded,2013
NCT01369121,United States,TERMINATED,Other,2010
NCT04066595,Germany,TERMINATED,Low enrollment/accrual,2020
NCT01774253,United States,TERMINATED,Low enrollment/accrual,2013
NCT02360930,United States,UNKNOWN,No reason recorded,2014
NCT01186328,United States,TERMINATED,Safety concerns,2010
NCT01186328,Australia,TERMINATED,Safety concerns,2010
NCT01743807,United States,TERMINATED,Other,2014
NCT03609242,United States,UNKNOWN,No reason recorded,2018
NCT03582969,Israel,UNKNOWN,No reason recorded,2018
NCT06293586,Egypt,UNKNOWN,No reason recorded,2023
NCT00698113,Canada,UNKNOWN,No reason recorded,2007
NCT05258383,France,UNKNOWN,No reason recorded,2023
NCT00131053,Japan,UNKNOWN,No reason recorded,2002
NCT02557854,United States,WITHDRAWN,Low enrollment/accrual,2016
NCT03878719,Italy,TERMINATED,Low enrollment/accrual,2020
NCT01696045,Germany,TERMINATED,Low enrollment/accrual,2012
NCT01696045,Mexico,TERMINATED,Low enrollment/accrual,2012
NCT01696045,Spain,TERMINATED,Low enrollment/accrual,2012
NCT01696045,Belgium,TERMINATED,Low enrollment/accrual,2012
NCT01696045,United Kingdom,TERMINATED,Low enrollment/accrual,2012
NCT01696045,Denmark,TERMINATED,Low enrollment/accrual,2012
NCT01696045,France,TERMINATED,Low enrollment/accrual,2012
NCT01696045,United States,TERMINATED,Low enrollment/accrual,2012
NCT00019409,India,WITHDRAWN,No reason recorded,1999
NCT00019409,United States,WITHDRAWN,No reason recorded,1999
NCT04987463,Poland,UNKNOWN,No reason recorded,2021
NCT03945032,Belgium,WITHDRAWN,Other,2019
NCT03823950,United States,UNKNOWN,No reason recorded,2019
NCT02177825,Canada,TERMINATED,Low enrollment/accrual,2014
NCT02134782,Canada,TERMINATED,Low enrollment/accrual,2014
NCT02134782,United States,TERMINATED,Low enrollment/accrual,2014
NCT05289713,Finland,UNKNOWN,No reason recorded,2023
NCT04916015,France,UNKNOWN,No reason recorded,2021
NCT01666015,Canada,TERMINATED,Low enrollment/accrual,2012
NCT01233479,United States,WITHDRAWN,Other,2010
NCT05683678,United States,TERMINATED,Sponsor/business decision,2019
NCT01709474,United States,TERMINATED,Low enrollment/accrual,2013
NCT03050450,United States,TERMINATED,Other,2016
NCT02644993,South Korea,UNKNOWN,No reason recorded,2015
NCT01991652,Ghana,UNKNOWN,No reason recorded,2014
NCT01991652,Cameroon,UNKNOWN,No reason recorded,2014
NCT01991652,Malawi,UNKNOWN,No reason recorded,2014
NCT04610125,China,UNKNOWN,No reason recorded,2020
NCT04784026,Turkey (Türkiye),UNKNOWN,No reason recorded,2021
NCT03022747,Finland,UNKNOWN,No reason recorded,2017
NCT03022747,Sweden,UNKNOWN,No reason recorded,2017
NCT02031211,United States,WITHDRAWN,Low enrollment/accrual,2014
NCT00101309,United States,UNKNOWN,No reason recorded,2004
NCT01014767,Germany,TERMINATED,PI/Staff unavailable,2009
NCT01014767,Hungary,TERMINATED,PI/Staff unavailable,2009
NCT01014767,United States,TERMINATED,PI/Staff unavailable,2009
NCT01014767,New Zealand,TERMINATED,PI/Staff unavailable,2009
NCT00074607,United States,TERMINATED,No reason recorded,2001
NCT04544007,United States,TERMINATED,Low enrollment/accrual,2022
NCT00107471,Switzerland,TERMINATED,Other,2005
NCT00107471,Canada,TERMINATED,Other,2005
NCT00107471,United States,TERMINATED,Other,2005
NCT00107471,Australia,TERMINATED,Other,2005
NCT04831593,Turkey (Türkiye),UNKNOWN,No reason recorded,2021
NCT00788125,United States,TERMINATED,Funding,2008
NCT02596997,United States,NO_LONGER_AVAILABLE,No reason recorded,Not listed
NCT05340725,Egypt,UNKNOWN,No reason recorded,2022
NCT02212574,United States,TERMINATED,Other,2017
NCT05801718,Egypt,UNKNOWN,No reason recorded,2023
NCT03632317,United States,WITHDRAWN,Low enrollment/accrual,2019
NCT04674150,United States,UNKNOWN,No reason recorded,2021
NCT04761042,Sweden,UNKNOWN,No reason recorded,2021
NCT06312969,Spain,UNKNOWN,No reason recorded,2023
NCT03107325,United States,WITHDRAWN,COVID-19,2019
NCT02067832,Austria,UNKNOWN,No reason recorded,2013
NCT02067832,Canada,UNKNOWN,No reason recorded,2013
NCT02067832,United States,UNKNOWN,No reason recorded,2013
NCT02082626,United States,TERMINATED,Other,2014
NCT05553899,United Kingdom,UNKNOWN,No reason recorded,2024
NCT02963064,United States,TERMINATED,Sponsor/business decision,2017
NCT02373241,United States,TERMINATED,Efficacy not met,2015
NCT02412475,United States,TERMINATED,Other,2015
NCT05776602,Sweden,UNKNOWN,No reason recorded,2023
NCT02638428,South Korea,UNKNOWN,No reason recorded,2015
NCT03798301,United States,TERMINATED,Low enrollment/accrual,2020
NCT02013336,United States,UNKNOWN,No reason recorded,2013
NCT04326439,United States,TERMINATED,Low enrollment/accrual,2020
NCT03794739,Italy,UNKNOWN,No reason recorded,2020
NCT01533779,Israel,UNKNOWN,No reason recorded,2012
NCT02897986,France,UNKNOWN,No reason recorded,2017
NCT03728543,Russia,UNKNOWN,No reason recorded,2018
NCT04653493,Iran,UNKNOWN,No reason recorded,2021
NCT02227108,Spain,TERMINATED,Low enrollment/accrual,2014
